frame,x_cm,y_cm,theta,detected
307,2.221288515406157,2.563025210084028,110.02197265624999,1
308,2.285364145658258,2.6698179271708624,105.07129669189452,1
309,2.306722689075625,2.662698412698407,106.2427376660688,1
310,2.3387605042016752,2.659138655462179,108.18381251659704,1
311,2.357983193277305,2.6570028011204423,109.35269193226176,0
312,2.4007002801120394,2.674089635854336,110.15358075103586,0
313,2.4177871148459333,2.6484593837534955,112.89335936010325,0
314,2.4348739495798264,2.6484593837534955,113.9746627807617,0
315,2.4348739495798264,2.6484593837534955,113.9746627807617,0
316,2.4348739495798264,2.6484593837534955,113.9746627807617,0
317,2.4348739495798264,2.6484593837534955,113.9746627807617,0
318,2.4348739495798264,2.6484593837534955,113.9746627807617,0
319,2.4348739495798264,2.6484593837534955,113.9746627807617,0
320,2.4348739495798264,2.6484593837534955,113.9746627807617,0
321,2.4348739495798264,2.6484593837534955,113.9746627807617,0
322,2.4348739495798264,2.6484593837534955,113.9746627807617,0
323,2.4348739495798264,2.6484593837534955,113.9746627807617,0
324,2.511764705882347,2.537394957983188,119.93288284119055,1
325,2.580112044817921,2.409243697478986,124.62898659170364,1
326,2.648459383753495,2.2554621848739447,128.44471676509588,1
327,2.7168067226890695,2.0675070028011158,134.03098229276176,1
328,2.7766106442576968,1.8453781512605,140.2391068119701,1
329,2.7851540616246435,1.7428571428571389,137.33996797268264,1
330,2.836414565826324,1.6659663865546182,137.1363029040425,1
331,2.9303921568627387,1.631792717086831,136.8460477051055,1
332,3.0670868347338867,1.6488795518207247,128.50143171888004,1
333,3.212324929971982,1.7001400560224051,115.03407025761219,0
334,3.331932773109236,1.7428571428571389,102.70835904346751,0
335,3.417366946778704,1.7770308123249259,92.35398188339956,0
336,3.460084033613437,1.7941176470588194,85.36207580566406,0
337,3.460084033613437,1.7941176470588194,85.36207580566406,0
338,3.460084033613437,1.7941176470588194,85.36207580566406,0
339,3.460084033613437,1.7941176470588194,85.36207580566406,0
340,3.460084033613437,1.7941176470588194,85.36207580566406,0
341,3.460084033613437,1.7941176470588194,85.36207580566406,0
342,3.460084033613437,1.7941176470588194,85.36207580566406,0
343,3.460084033613437,1.7941176470588194,85.36207580566406,0
344,3.460084033613437,1.7941176470588194,85.36207580566406,0
345,3.460084033613437,1.7941176470588194,85.36207580566406,0
346,3.460084033613437,1.7941176470588194,85.36207580566406,0
347,3.460084033613437,1.7941176470588194,85.36207580566406,0
348,3.460084033613437,1.7941176470588194,85.36207580566406,0
349,3.460084033613437,1.7941176470588194,85.36207580566406,0
350,3.460084033613437,1.7941176470588194,85.36207580566406,0
351,3.460084033613437,1.7941176470588194,85.36207580566406,0
352,3.460084033613437,1.7941176470588194,85.36207580566406,0
353,3.460084033613437,1.7941176470588194,85.36207580566406,0
354,3.460084033613437,1.7941176470588194,85.36207580566406,0
355,3.460084033613437,1.7941176470588194,85.36207580566406,0
356,3.460084033613437,1.7941176470588194,85.36207580566406,0
357,3.460084033613437,1.7941176470588194,85.36207580566406,0
358,3.460084033613437,1.7941176470588194,85.36207580566406,0
359,3.460084033613437,1.7941176470588194,85.36207580566406,0
360,3.460084033613437,1.7941176470588194,85.36207580566406,0
