video,frame,time_s,center_x_px,center_y_px,axis1_x_px,axis1_y_px,axis2_x_px,axis2_y_px,x_GT,y_GT,theta_GT
bug_clip5.mp4,526,17.533333333333335,474,897,481,856,467,935,12.022617124394182,5.37075928917609,100.04934858812489
bug_clip5.mp4,602,20.066666666666663,856,559,861,517,848,606,30.844911147011302,22.02504038772213,98.3102771675242
bug_clip5.mp4,675,22.5,637,394,592,401,681,389,20.054119547657507,30.155088852988687,172.3210361926313
bug_clip5.mp4,887,29.566666666666663,815,993,779,969,851,1017,28.824717285945063,0.6405492730210015,33.690067525979785
bug_clip5.mp4,1009,33.63333333333333,710,944,671,917,742,969,23.65105008077544,3.054927302100161,36.21883726561454
bug_clip5.mp4,1071,35.7,533,858,509,821,553,893,14.929725363489496,7.292407108239094,58.57043438516149
bug_clip5.mp4,1143,38.1,736,669,692,671,781,665,24.932148626817444,16.605008077544422,176.14319901441016
bug_clip5.mp4,1198,39.93333333333333,758,732,712,741,798,724,26.016155088852983,13.500807754442649,168.8182457898033
bug_clip5.mp4,1308,43.6,642,493,615,459,670,529,20.300484652665585,25.27705977382875,51.84277341263094
bug_clip5.mp4,1507,50.23333333333333,586,972,574,1016,597,932,17.54119547657512,1.675282714054927,105.31281836080628
bug_clip5.mp4,1611,53.7,776,984,733,1003,815,969,26.903069466882062,1.084006462035541,157.47943439710312
bug_clip5.mp4,1912,63.73333333333333,293,386,257,380,335,394,3.1042003231017765,30.54927302100161,10.175510843043208
bug_clip5.mp4,2006,66.86666666666666,281,401,254,376,314,431,2.5129240710823906,29.810177705977377,42.51044707800085
bug_clip5.mp4,2031,67.7,274,407,256,446,289,375,2.168012924071082,29.51453957996769,114.92847413546129
bug_clip5.mp4,2078,69.26666666666667,253,669,248,713,257,629,1.1332794830371564,16.605008077544422,96.1155035662854
bug_clip6.mp4,392,13.066666666666666,230,1001,188,1021,275,979,1.879551820728287,1.5378151260504167,154.2306723756613
bug_clip6.mp4,437,14.566666666666666,262,932,238,889,284,974,3.246498599439769,4.485294117647049,61.578790775473145
bug_clip6.mp4,480,16.0,348,852,321,812,376,897,6.920168067226875,7.902661064425753,57.094757077012105
bug_clip6.mp4,486,16.2,328,902,288,929,370,879,6.065826330532199,5.766806722689062,148.62699485989154
bug_clip6.mp4,627,20.9,439,734,400,710,484,765,10.80742296918765,12.94327731092434,33.2152514937372
bug_clip6.mp4,709,23.633333333333333,543,699,540,753,548,649,15.249999999999966,14.438375350140024,94.39870535499551
bug_clip6.mp4,811,27.03333333333333,570,833,537,800,606,875,16.403361344537778,8.714285714285694,47.38594403038881
bug_clip6.mp4,862,28.73333333333333,546,983,514,1025,577,948,15.378151260504168,2.306722689075625,129.28940686250036
bug_clip6.mp4,1061,35.36666666666667,860,998,817,967,901,1027,28.79131652661058,1.6659663865546182,35.53767779197438
bug_clip6.mp4,1094,36.46666666666667,857,984,827,1031,880,948,28.66316526610638,2.2640056022408914,122.56043798115344
bug_clip6.mp4,1489,49.63333333333333,788,874,737,863,836,886,25.715686274509743,6.962885154061609,13.07912378006682
bug_clip6.mp4,1552,51.73333333333333,844,974,800,1000,887,951,28.10784313725484,2.6911764705882293,150.61098853367966
bug_clip6.mp4,1619,53.96666666666667,889,343,890,293,886,391,30.03011204481786,29.64565826330525,92.33730585912382
bug_clip6.mp4,1647,54.9,887,335,862,377,908,296,29.944677871148397,29.987394957983124,119.59229635935796
bug_clip6.mp4,2023,67.43333333333334,877,321,834,343,926,299,29.517507002801054,30.5854341736694,154.44003482817618
bug_clip5.mp4,700,23.333333333333332,462,395,421,374,497,415,11.431340872374795,30.10581583198707,28.345693623076674
bug_clip5.mp4,1073,35.766666666666666,533,844,522,804,541,880,14.929725363489496,7.982229402261711,75.96375653207353
bug_clip6.mp4,2350,78.33333333333333,845,425,796,449,890,405,28.150560224089574,26.142857142857086,154.9164059938091
bug_clip6.mp4,2376,79.2,661,316,610,299,701,329,20.290616246498555,30.799019607843068,18.24585452757825
